,0
0,0
1,6
2,4
3,1
4,3
5,4
6,6
7,1
8,3
9,4
10,5
11,5
12,0
13,5
14,6
15,2
16,3
17,2
18,4
19,3
20,0
21,1
22,4
23,4
24,4
25,6
26,1
27,4
28,0
29,5
30,6
31,6
32,1
33,3
34,1
35,5
36,6
37,2
38,6
39,1
40,0
41,1
42,2
43,5
44,0
45,3
46,1
47,6
48,1
49,4
50,0
51,2
52,6
53,4
54,6
55,6
56,1
57,3
58,4
59,1
60,6
61,1
62,1
63,4
64,4
65,5
66,0
67,4
68,0
69,4
70,4
71,1
72,6
73,1
74,6
75,6
76,1
77,5
78,2
79,1
80,3
81,1
82,6
83,1
84,4
85,6
86,6
87,6
88,2
89,4
90,1
91,1
92,5
93,0
94,1
95,2
96,3
97,6
98,1
99,0
100,6
101,4
102,1
103,6
104,0
105,0
106,6
107,4
108,1
109,4
110,3
111,1
112,5
113,5
114,5
115,1
116,4
117,6
118,3
119,3
120,1
121,4
122,3
123,0
124,4
125,2
126,5
127,5
128,6
129,1
130,6
131,1
132,1
133,5
134,4
135,6
136,4
137,6
138,6
139,1
140,6
141,6
142,3
143,4
144,0
145,6
146,2
147,4
148,5
149,5
150,1
151,2
152,1
153,3
154,5
155,4
156,1
157,0
158,4
159,4
160,5
161,1
162,4
163,0
164,1
165,1
166,5
167,4
168,6
169,0
170,5
171,1
172,0
173,5
174,2
175,1
176,6
177,2
178,0
179,2
180,5
181,1
182,6
183,1
184,6
185,1
186,6
187,0
188,4
189,4
190,4
191,1
192,3
193,2
194,0
195,2
196,6
197,0
198,2
199,5
200,2
201,5
202,6
203,4
204,1
205,1
206,4
207,6
208,5
209,5
210,5
211,1
212,6
213,3
214,6
215,5
216,5
217,3
218,5
219,4
220,6
221,6
222,6
223,6
224,1
225,4
226,0
227,3
228,6
229,1
230,0
231,4
232,6
233,1
234,5
235,1
236,5
237,1
238,0
239,4
240,1
241,4
242,0
243,0
244,6
245,1
246,6
247,5
248,4
249,3
250,4
251,6
252,6
253,4
254,6
255,2
256,3
257,5
258,1
259,6
260,0
261,2
262,4
263,1
264,6
265,4
266,1
267,5
268,1
269,5
270,1
271,3
272,0
273,6
274,3
275,3
276,3
277,0
278,6
279,1
280,5
281,6
282,4
283,4
284,2
285,6
286,2
287,4
288,4
289,4
290,6
291,5
292,1
293,1
294,0
295,4
296,3
297,5
298,5
299,1
300,1
301,6
302,5
303,1
304,6
305,4
306,4
307,4
308,6
309,1
310,2
311,1
312,1
313,4
314,3
315,6
316,4
317,1
318,2
319,4
320,1
321,0
322,6
323,6
324,6
325,5
326,1
327,4
328,1
329,6
330,5
331,1
332,3
333,2
334,3
335,3
336,0
337,1
338,5
339,0
340,4
341,5
342,1
343,5
344,2
345,4
346,3
347,4
348,2
349,0
350,4
351,1
352,4
353,5
354,3
355,6
356,1
357,3
358,3
359,0
360,0
361,1
362,4
363,6
364,1
365,0
366,4
367,4
368,6
369,4
370,6
371,1
372,1
373,0
374,1
375,4
376,1
377,4
378,5
379,6
380,4
381,4
382,3
383,1
384,3
385,3
386,6
387,0
388,1
389,2
390,5
391,0
392,5
393,1
394,6
395,3
396,6
397,5
398,1
399,4
400,1
401,5
402,6
403,5
404,5
405,1
406,5
407,0
408,6
409,3
410,5
411,5
412,5
413,5
414,3
415,5
416,1
417,1
418,4
419,5
420,4
421,1
422,1
423,4
424,5
425,5
426,2
427,3
428,5
429,2
430,5
431,6
432,0
433,0
434,1
435,2
436,6
437,1
438,5
439,6
440,4
441,1
442,6
443,4
444,4
445,6
446,4
447,5
448,1
449,1
450,1
451,1
452,6
453,1
454,0
455,5
456,1
457,3
458,0
459,5
460,3
461,1
462,5
463,4
464,6
465,1
466,1
467,4
