,0
0,2
1,3
2,1
3,2
4,5
5,4
6,2
7,5
8,1
9,0
10,6
11,3
12,0
13,4
14,5
15,6
16,2
17,5
18,1
19,5
20,3
21,3
22,0
23,1
24,1
25,1
26,4
27,2
28,3
29,1
30,3
31,6
32,4
33,4
34,2
35,2
36,6
37,2
38,0
39,4
40,1
41,2
42,2
43,3
44,2
45,1
46,6
47,6
48,2
49,4
50,2
51,1
52,3
53,3
54,1
55,0
56,1
57,4
58,4
59,2
60,5
61,3
62,1
63,2
64,0
65,2
66,2
67,2
68,1
69,1
70,6
71,3
72,1
73,3
74,3
75,1
76,1
77,2
78,4
79,2
80,4
81,4
82,2
83,3
84,0
85,2
86,6
87,2
88,6
89,2
90,4
91,2
92,3
93,1
94,4
95,4
96,4
97,1
98,1
99,3
100,4
101,2
102,0
103,2
104,5
105,6
106,4
107,2
108,3
109,4
110,1
111,4
112,4
113,3
114,3
115,3
116,4
117,3
118,3
119,1
120,3
121,3
122,6
123,4
124,0
125,6
126,0
127,2
128,1
129,4
130,6
131,6
132,2
133,1
134,6
135,3
136,1
137,5
138,0
139,0
140,0
141,2
142,4
143,2
144,4
145,0
146,1
147,4
148,1
149,4
150,4
151,3
152,2
153,0
154,4
155,6
156,1
157,2
158,1
159,0
160,0
161,2
162,1
163,3
164,6
165,6
166,1
167,3
168,3
169,2
170,1
171,1
172,0
173,2
174,5
175,3
176,2
177,2
178,6
179,3
180,4
181,3
182,3
183,0
184,2
185,2
186,1
187,2
188,4
189,1
190,3
191,1
192,0
193,4
194,3
195,4
196,2
197,0
198,2
199,0
200,2
201,1
202,1
203,5
204,6
205,5
206,4
207,5
208,0
209,5
210,0
211,2
212,1
213,2
214,2
215,1
216,3
217,4
218,0
219,0
220,3
221,0
222,2
223,0
224,6
225,0
226,4
227,0
228,6
229,6
230,1
231,4
232,4
233,2
234,0
235,4
236,2
237,1
238,2
239,0
240,2
241,1
242,4
243,2
244,0
245,2
246,0
247,2
248,3
249,1
250,2
251,1
252,3
253,2
254,2
255,2
256,4
257,1
258,5
259,4
260,5
261,4
262,5
263,5
264,0
265,2
266,3
267,2
268,3
269,5
270,3
271,2
272,4
273,1
274,2
275,0
276,2
277,0
278,2
279,6
280,3
281,3
282,4
283,5
284,5
285,4
286,2
287,6
288,2
289,1
290,5
291,4
292,5
293,1
294,1
295,0
296,2
297,2
298,2
299,3
300,6
301,0
302,2
303,3
304,4
305,0
306,2
307,4
308,1
309,3
310,1
311,3
312,1
313,0
314,2
315,2
316,2
317,1
318,5
319,0
320,1
321,3
322,2
323,1
324,1
325,2
326,4
327,4
328,4
329,6
330,2
331,1
332,2
333,2
334,6
335,4
336,3
337,6
338,5
339,5
340,6
341,2
342,3
343,3
344,0
345,2
346,0
347,5
348,1
349,6
350,3
351,1
352,1
353,2
354,6
355,4
356,4
357,3
358,6
359,6
360,3
361,2
362,1
363,2
364,3
365,1
366,4
367,5
368,2
369,3
370,2
371,2
372,1
373,2
374,1
375,0
376,4
377,3
378,1
379,1
380,5
381,2
382,6
383,6
384,1
385,0
386,0
387,2
388,6
389,4
390,0
391,3
392,4
393,2
394,0
395,0
396,3
397,6
398,0
399,3
400,3
401,2
402,0
403,3
404,4
405,3
406,5
407,4
408,0
409,0
410,4
411,6
412,3
413,0
414,2
415,2
416,0
417,1
418,3
419,2
420,2
421,0
422,4
423,1
424,5
425,0
426,1
427,3
428,4
429,3
430,3
431,2
432,5
433,0
434,2
435,6
436,4
437,1
438,3
439,3
440,3
441,0
442,1
443,4
444,1
445,6
446,0
447,2
448,2
449,2
450,3
451,4
452,2
453,3
454,0
455,5
456,3
457,0
458,6
459,2
460,0
461,4
462,2
463,2
464,1
465,6
466,1
467,6
468,4
469,1
470,1
471,0
472,0
473,0
474,0
475,6
476,5
477,4
478,1
479,4
480,5
481,4
482,4
483,5
484,1
485,1
486,2
487,1
488,2
489,2
490,2
491,1
492,1
493,1
494,2
495,0
496,1
497,1
498,4
499,2
500,3
501,5
502,1
503,3
504,6
505,3
506,3
507,3
508,3
509,6
510,3
511,1
512,0
513,2
514,4
515,2
516,0
517,0
518,4
519,2
520,5
521,4
522,1
523,3
524,6
525,6
526,0
527,3
528,5
529,2
530,4
531,5
532,4
533,5
534,3
535,2
536,4
537,1
538,4
539,0
540,3
541,2
542,5
543,4
544,3
545,1
546,3
547,4
548,1
549,2
550,2
551,2
552,1
553,2
554,2
555,5
556,2
557,6
558,3
559,4
560,1
561,4
562,1
563,4
564,6
565,3
566,2
567,1
568,0
569,2
570,5
571,3
572,2
573,5
574,6
575,2
576,4
577,5
578,3
579,2
580,1
581,2
582,3
583,4
