,0
0,2
1,1
2,0
3,5
4,3
5,3
6,5
7,4
8,6
9,6
10,4
11,4
12,4
13,4
14,0
15,6
16,6
17,6
18,4
19,2
20,5
21,0
22,2
23,3
24,0
25,1
26,3
27,4
28,2
29,2
30,4
31,3
32,4
33,6
34,1
35,0
36,6
37,3
38,2
39,4
40,6
41,6
42,0
43,0
44,1
45,2
46,4
47,6
48,4
49,4
50,1
51,0
52,6
53,0
54,5
55,1
56,4
57,0
58,1
59,4
60,0
61,2
62,2
63,5
64,2
65,0
66,0
67,4
68,1
69,5
70,4
71,1
72,0
73,3
74,2
75,5
76,2
77,1
78,1
79,3
80,2
81,0
82,2
83,5
84,4
85,0
86,6
87,6
88,5
89,4
90,6
91,6
92,0
93,6
94,6
95,0
96,0
97,4
98,2
99,4
100,0
101,4
102,6
103,6
104,0
105,6
106,5
107,6
108,1
109,1
110,4
111,4
112,0
113,1
114,0
115,6
116,4
117,6
118,0
119,4
120,4
121,4
122,0
123,2
124,6
125,6
126,3
127,2
128,2
129,6
130,0
131,0
132,1
133,4
134,6
135,4
136,0
137,0
138,0
139,6
140,4
141,3
142,2
143,2
144,1
145,1
146,6
147,4
148,6
149,4
150,5
151,2
152,4
153,4
154,1
155,0
156,3
157,2
158,0
159,5
160,4
161,6
162,4
163,0
164,1
165,6
166,2
167,6
168,1
169,1
170,2
171,5
172,6
173,6
174,0
175,6
176,4
177,6
178,0
179,3
180,4
181,5
182,4
183,6
184,3
185,5
186,1
187,4
188,0
189,4
190,4
191,0
192,3
193,4
194,3
195,0
196,1
197,5
198,4
199,4
200,1
201,2
202,0
203,4
204,4
205,2
206,1
207,0
208,4
209,2
210,5
211,1
212,6
213,6
214,3
215,6
216,6
217,0
218,4
219,4
220,5
221,0
222,4
223,6
224,5
225,2
226,3
227,1
228,6
229,6
230,0
231,0
232,6
233,0
234,6
235,4
236,6
237,5
238,5
239,3
240,4
241,4
242,4
243,1
244,4
245,4
246,0
247,2
248,5
249,3
250,4
251,1
252,4
253,4
254,0
255,0
256,0
257,3
258,4
259,1
260,6
261,2
262,6
263,1
264,4
265,4
266,1
267,1
268,4
269,2
270,1
271,4
272,4
273,0
274,5
275,2
276,1
277,4
278,6
279,6
280,0
281,6
282,2
283,6
284,5
285,0
286,6
287,6
288,6
289,1
290,6
291,6
292,6
293,0
294,6
295,4
296,1
297,4
298,4
299,5
300,0
301,0
302,4
303,0
304,4
305,1
306,4
307,4
308,3
309,0
310,6
311,6
312,4
313,4
314,6
315,1
316,4
317,1
318,0
319,0
320,6
321,6
322,4
323,4
324,0
325,0
326,0
327,4
328,4
329,6
330,4
331,4
332,0
333,1
334,3
335,6
336,0
337,1
338,1
339,4
340,0
341,0
342,0
343,1
344,1
345,3
346,4
347,1
348,6
349,1
350,4
351,4
352,5
353,5
354,4
355,6
356,4
357,4
358,3
359,6
360,3
361,4
362,1
363,0
364,0
365,0
366,0
367,0
368,4
369,6
370,3
371,4
372,6
373,1
374,6
375,6
376,2
377,5
378,0
379,3
380,4
381,6
382,5
383,1
384,2
385,3
386,0
387,4
388,4
389,5
390,2
391,0
392,5
393,0
394,2
395,4
396,6
397,6
398,4
399,0
400,5
401,0
402,6
403,1
404,1
405,5
406,0
407,4
408,0
409,1
410,4
411,4
412,1
413,4
414,6
415,2
416,4
417,0
418,4
419,6
420,4
421,0
422,4
423,4
424,4
425,1
426,2
427,3
428,0
429,1
430,4
431,0
432,5
433,6
434,5
435,6
436,0
437,3
438,2
439,0
440,1
441,4
442,1
443,0
444,2
445,5
446,4
447,0
448,2
449,0
450,5
451,1
452,3
453,1
454,0
455,6
456,1
457,1
458,0
459,5
460,2
461,4
462,6
463,2
464,5
465,3
466,2
467,0
468,4
469,1
470,4
471,1
472,4
473,3
474,6
475,4
476,6
477,0
478,4
479,6
480,4
481,1
482,0
483,5
484,0
485,2
486,2
487,6
488,1
489,6
490,1
491,6
492,6
493,0
494,0
495,4
496,6
497,6
498,0
499,1
500,1
501,1
502,4
503,6
504,6
505,1
506,0
507,1
508,3
509,1
510,2
511,6
512,4
513,1
514,6
515,4
516,6
517,5
518,4
519,4
520,3
521,4
522,4
523,0
524,2
525,6
526,4
527,0
528,1
529,4
530,6
531,1
532,4
533,1
534,3
535,0
536,0
537,1
538,5
539,5
540,2
541,5
542,4
543,4
544,4
545,0
546,2
547,1
548,6
549,1
550,6
551,0
552,6
553,6
554,0
555,2
556,1
557,4
558,0
559,4
560,6
561,1
562,4
563,0
564,6
565,6
566,0
567,2
568,5
569,1
570,1
571,6
572,5
573,4
574,6
575,5
576,6
577,4
578,4
579,1
580,3
581,4
582,3
583,1
584,5
585,6
586,4
587,3
588,4
589,2
590,5
591,4
592,5
593,5
594,3
595,2
596,0
597,4
598,4
599,1
600,3
601,5
602,1
603,3
604,6
605,6
606,4
607,4
608,0
609,0
610,3
611,5
612,6
613,3
614,2
615,0
616,6
617,2
618,2
619,1
620,2
621,5
622,4
623,0
624,0
625,4
626,1
627,0
628,6
629,0
630,6
631,4
632,0
633,6
634,6
635,5
636,0
637,0
638,4
639,4
640,6
641,4
642,6
643,6
644,4
645,0
646,1
647,1
648,4
649,6
650,4
651,3
652,0
653,4
654,2
655,3
656,1
657,1
658,6
659,6
660,4
661,5
662,4
663,5
664,0
665,1
666,4
667,4
668,0
669,0
670,2
671,4
672,0
673,0
674,3
675,6
676,1
677,5
678,0
679,6
680,5
681,6
682,4
683,6
684,5
685,6
686,1
687,6
688,0
689,5
690,4
691,2
692,3
693,2
694,0
695,4
696,5
697,4
698,6
699,2
700,1
701,0
702,4
703,4
704,2
705,3
706,0
707,0
708,4
709,6
710,0
711,4
712,5
713,0
714,2
715,0
716,2
717,1
718,5
719,2
720,5
721,3
722,5
723,4
724,1
725,1
726,2
727,6
728,2
729,6
730,0
731,6
