,0
0,2
1,1
2,0
3,1
4,1
5,1
6,0
7,2
8,1
9,1
10,3
11,2
12,0
13,0
14,3
15,4
16,1
17,1
18,1
19,0
20,2
21,4
22,3
23,3
24,3
25,0
26,2
27,1
28,0
29,2
30,2
31,2
32,0
33,4
34,1
35,0
36,1
37,1
38,1
39,4
40,0
41,0
42,1
43,2
44,2
45,2
46,0
47,0
48,4
49,1
50,0
51,1
52,2
53,3
54,2
55,1
56,0
57,1
58,0
59,1
60,0
61,2
62,2
63,4
64,3
65,2
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,2
75,0
76,3
77,4
78,1
79,0
80,1
81,1
82,0
83,0
84,4
85,0
86,0
87,1
88,1
89,1
90,1
91,2
92,0
93,2
94,2
95,2
96,1
97,2
98,1
99,0
100,0
101,0
102,1
103,2
104,0
105,0
106,0
107,0
108,0
109,2
110,0
111,0
112,4
113,4
114,0
115,3
116,2
117,2
118,0
119,2
120,2
121,1
122,3
123,0
124,3
125,1
126,2
127,3
128,4
129,0
130,1
131,1
132,2
133,1
134,0
135,2
136,0
137,0
138,0
139,2
140,2
141,1
142,0
143,1
144,0
145,2
146,2
147,2
148,2
149,4
150,1
151,3
152,2
153,2
154,1
155,1
156,1
157,4
158,1
159,0
160,2
161,1
162,0
163,2
164,2
165,1
166,1
167,4
168,3
169,2
170,0
171,2
172,4
173,2
174,1
175,0
176,0
177,2
178,0
179,0
180,1
181,4
182,2
183,0
184,1
185,0
186,1
187,2
188,2
189,0
190,0
191,4
192,0
193,0
194,2
195,0
196,1
197,3
198,1
199,3
200,1
201,0
202,1
203,3
204,1
205,2
206,0
207,0
208,1
209,1
210,1
211,2
212,3
213,0
214,2
215,2
216,2
217,1
218,2
219,3
220,3
221,2
222,1
223,2
224,0
225,1
226,1
227,2
228,0
229,0
230,2
231,2
232,0
233,1
234,4
235,2
236,0
237,1
238,2
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,2
255,1
256,4
257,1
258,0
259,2
260,1
261,2
262,2
263,1
264,2
265,0
266,0
267,0
268,1
269,0
270,4
271,1
272,2
273,1
274,0
275,2
276,0
277,4
278,1
279,2
280,0
281,2
282,2
283,2
284,1
285,1
286,0
287,2
288,2
289,1
290,3
291,3
292,0
293,1
294,3
295,0
296,1
297,1
298,4
299,0
300,4
301,0
302,0
303,1
304,3
305,0
306,2
307,0
308,1
309,2
310,2
311,1
312,3
313,3
314,0
315,1
316,2
317,0
318,1
319,4
320,1
321,1
322,2
323,3
324,0
325,0
326,1
327,1
328,4
329,0
330,0
331,0
332,2
333,0
334,3
335,4
336,1
337,2
338,0
339,0
340,2
341,1
342,1
343,2
344,2
345,4
346,1
347,0
348,3
349,4
350,1
351,1
352,1
353,1
354,1
355,1
356,4
357,0
358,2
359,2
360,0
361,2
362,2
363,2
364,0
365,4
366,3
367,0
368,0
369,1
370,2
371,3
372,2
373,0
374,2
375,3
376,0
377,3
378,0
379,3
380,0
381,0
382,3
383,1
384,4
385,4
386,3
387,1
388,2
389,1
390,2
391,2
392,2
393,0
394,4
395,2
396,1
397,1
398,0
399,0
400,4
401,1
402,0
403,2
404,0
405,2
406,0
407,0
408,0
409,0
410,3
411,0
412,0
413,2
414,2
415,1
416,3
417,0
418,4
419,2
420,0
421,2
422,1
423,2
424,4
425,0
426,1
427,1
428,1
429,2
430,0
431,1
432,0
433,2
434,1
435,1
436,3
437,1
438,2
439,0
440,0
441,2
442,0
443,1
444,2
445,1
446,2
447,2
448,1
449,2
450,1
451,2
452,2
453,3
454,0
455,1
456,1
457,2
458,1
459,0
460,2
461,0
462,1
463,2
464,4
465,2
466,2
467,1
468,0
469,1
470,3
471,0
472,0
473,2
474,0
475,4
476,1
477,2
478,1
479,3
480,2
481,1
482,0
483,2
484,1
485,2
486,3
487,3
488,1
489,1
490,2
491,3
492,3
493,0
494,1
495,3
496,3
497,0
498,0
499,4
500,1
501,2
502,1
503,1
504,2
505,1
506,0
507,2
508,3
509,0
510,4
511,0
512,3
513,1
514,0
515,3
516,4
517,0
518,0
519,1
520,0
521,3
522,3
523,4
524,0
525,1
526,1
527,2
528,0
529,0
530,1
531,0
532,1
533,0
534,1
535,3
536,2
537,0
538,1
539,0
540,4
541,4
542,1
543,1
544,2
545,1
546,4
547,1
548,0
549,3
550,2
551,2
552,0
553,1
554,3
555,1
556,1
557,2
558,1
559,2
560,0
561,4
562,3
563,4
564,0
565,1
566,0
567,2
568,0
569,3
570,0
571,2
572,0
573,2
574,0
575,0
576,3
577,2
578,4
579,4
580,1
581,4
582,3
583,2
584,0
585,0
586,2
587,0
588,0
589,4
590,2
591,0
592,0
593,1
594,0
595,3
596,0
597,0
598,2
599,3
600,1
601,3
602,1
603,1
604,1
605,0
606,0
607,2
608,0
609,4
610,2
611,2
612,1
613,0
614,3
615,1
616,1
617,4
618,1
619,0
620,0
621,2
622,4
623,1
624,3
625,0
626,4
627,0
628,1
629,1
630,0
631,1
632,1
633,3
634,2
635,0
636,3
637,1
638,1
639,0
640,2
641,1
642,0
643,1
644,2
645,2
646,0
647,2
648,2
649,1
650,0
651,0
652,3
653,0
654,4
655,0
656,3
657,2
658,1
659,1
660,1
661,2
662,0
663,2
664,0
665,0
666,1
667,4
668,4
669,1
670,0
671,1
672,0
673,3
674,3
675,1
676,2
677,0
678,0
679,3
680,4
681,2
682,1
683,0
684,2
685,1
686,2
687,3
688,1
689,0
690,0
691,1
692,2
693,0
694,2
695,2
696,0
697,1
698,0
699,0
700,3
701,1
702,4
703,0
704,0
705,0
706,1
707,0
708,3
709,1
710,1
711,0
712,0
713,1
714,0
715,2
716,0
717,1
718,1
719,0
720,0
721,2
722,2
723,1
724,2
725,1
726,0
727,1
728,0
729,1
730,1
731,1
