,0
0,0
1,5
2,1
3,0
4,2
5,2
6,6
7,0
8,0
9,2
10,1
11,4
12,3
13,0
14,4
15,0
16,2
17,3
18,0
19,3
20,1
21,2
22,0
23,0
24,0
25,1
26,2
27,2
28,4
29,0
30,5
31,1
32,0
33,3
34,0
35,0
36,0
37,0
38,3
39,0
40,4
41,0
42,2
43,0
44,0
45,0
46,0
47,1
48,3
49,5
50,3
51,0
52,0
53,1
54,5
55,0
56,1
57,4
58,1
59,4
60,0
61,0
62,2
63,5
64,1
65,0
66,4
67,0
68,0
69,0
70,1
71,5
72,2
73,3
74,0
75,1
76,5
77,0
78,1
79,1
80,5
81,0
82,0
83,4
84,0
85,0
86,0
87,4
88,3
89,0
90,1
91,4
92,0
93,4
94,0
95,2
96,4
97,0
98,0
99,1
100,1
101,5
102,4
103,0
104,3
105,0
106,5
107,2
108,2
109,0
110,0
111,5
112,5
113,4
114,1
115,0
116,4
117,0
118,5
119,0
120,4
121,5
122,5
123,5
124,1
125,2
126,5
127,0
128,3
129,4
130,4
131,3
132,4
133,0
134,1
135,0
136,3
137,3
138,0
139,1
140,3
141,0
142,1
143,3
144,3
145,4
146,5
147,4
148,0
149,4
150,0
151,4
152,4
153,1
154,0
155,1
156,4
157,4
158,5
159,0
160,4
161,0
162,2
163,2
164,0
165,0
166,1
167,1
168,4
169,4
170,0
171,1
172,0
173,3
174,3
175,1
176,0
177,0
178,1
179,1
180,4
181,0
182,2
183,5
184,0
185,0
186,3
187,5
188,0
189,0
190,5
191,4
192,0
193,0
194,4
195,1
196,0
197,3
198,4
199,1
200,0
201,2
202,4
203,4
204,5
205,0
206,0
207,4
208,0
209,4
210,0
211,6
212,1
213,1
214,2
215,3
216,1
217,5
218,2
219,0
220,1
221,2
222,4
223,2
224,4
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,4
233,4
234,5
235,3
236,0
237,4
238,4
239,4
240,4
241,4
242,2
243,3
244,5
245,1
246,0
247,4
248,4
249,4
250,0
251,1
252,5
253,4
254,0
255,1
256,4
257,0
258,3
259,0
260,4
261,0
262,0
263,1
264,5
265,1
266,0
267,0
268,0
269,0
270,4
271,1
272,2
273,1
274,4
275,4
276,2
277,0
278,2
279,2
280,4
281,0
282,0
283,0
284,5
285,2
286,0
287,0
288,0
289,1
290,0
291,4
292,0
293,3
294,0
295,4
296,5
297,0
298,5
299,5
300,0
301,2
302,2
303,2
304,4
305,0
306,3
307,0
308,1
309,3
310,0
311,2
312,2
313,5
314,1
315,4
316,0
317,0
318,0
319,1
320,3
321,4
322,4
323,4
324,0
325,0
326,1
327,5
328,1
329,1
330,0
331,1
332,4
333,0
334,2
335,0
336,0
337,1
338,2
339,5
340,4
341,1
342,5
343,0
344,1
345,1
346,0
347,4
348,4
349,0
350,2
351,0
352,2
353,0
354,0
355,3
356,0
357,0
358,3
359,2
360,2
361,3
362,0
363,3
364,0
365,5
366,4
367,0
368,4
369,2
370,2
371,4
372,5
373,1
374,1
375,5
376,0
377,3
378,0
379,5
